"","Site_ID","Dep_ID","Weekday","count_weekday_ins_sm","tot_weekday_hrs","med_weekday_hrs","min_weekday_hrs","max_weekday_hrs","Behavior"
"1","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Sa",2,2.06162061111111,1.03081030555556,0.821966083333333,1.23965452777778,"Total"
"2","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Su",1,1.60358038888889,1.60358038888889,1.60358038888889,1.60358038888889,"Total"
"3","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","R",3,1.93956030555556,0.278479888888889,0.265665833333333,1.39541458333333,"Total"
"4","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","T",1,1.19653266666667,1.19653266666667,1.19653266666667,1.19653266666667,"Total"
"5","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","W",1,1.20307161111111,1.20307161111111,1.20307161111111,1.20307161111111,"Total"
"6","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Sa",1,1.23965452777778,1.23965452777778,1.23965452777778,1.23965452777778,"M"
"7","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Sa",1,0.821966083333333,0.821966083333333,0.821966083333333,0.821966083333333,"T"
"8","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Su",1,1.60358038888889,1.60358038888889,1.60358038888889,1.60358038888889,"M"
"9","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","R",3,1.93956030555556,0.278479888888889,0.265665833333333,1.39541458333333,"M"
"10","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","T",1,1.19653266666667,1.19653266666667,1.19653266666667,1.19653266666667,"T"
"11","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","W",1,1.20307161111111,1.20307161111111,1.20307161111111,1.20307161111111,"T"
